unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
Hs 343.T,,Hs 343.T,,,,,,,Hs_343.T,,,,,,,breast,
Hs 600.T,,Hs 600.T,,,,,,,Hs_600.T,,,,,,,skin,
Hs 606.T,,Hs 606.T,,,,,,,Hs_606.T,,,,,,,breast,
Hs 611.T,,Hs 611.T,,,,,,,Hs_611.T,,,,,,,haematopoietic_and_lymphoid_tissue,
Hs 616.T,,Hs 616.T,,,,,,,Hs_616.T,,,,,,,haematopoietic_and_lymphoid_tissue,
Hs 618.T,,Hs 618.T,,,,,,,Hs_618.T,,,,,,,lung,
Hs 675.T,,Hs 675.T,,,,Hs 675.T,,,Hs_675.T,,,,,,,large_intestine,
Hs 683,,Hs 683,,,,Hs 683,,Hs-683,Hs_683,,,,,,,central_nervous_system,
Hs 688(A).T,,Hs 688(A).T,,,,,,,Hs_688_A_.T,,,,,,,skin,
Hs 695T,,Hs 695T,,,,Hs 695T,,,Hs_695T,,,,,,,skin,
Hs 698.T,,Hs 698.T,,,,,,,Hs_698.T,,,,,,,large_intestine,
Hs 706.T,,Hs 706.T,,,,,,,Hs_706.T,,,,,,,bone,
Hs 729,,Hs 729,,,,,,,Hs_729,,,,,,,soft_tissue,
Hs 737.T,,Hs 737.T,,,,,,,Hs_737.T,,,,,,,bone,
Hs 739.T,,Hs 739.T,,,,,,,Hs_739.T,,,,,,,breast,
Hs 742.T,,Hs 742.T,,,,,,,Hs_742.T,,,,,,,breast,
Hs 746T,,Hs 746T,HS746T,,,Hs 746T,,Hs746T,Hs_746T,Hs746T,,,,,HS746T,stomach,
Hs 766T,,Hs 766T,,,,Hs 766T,,Hs-766T,Hs_766T,Hs766T,,,,,,pancreas,
Hs 819.T,,Hs 819.T,,,,,,,Hs_819.T,,,,,,,bone,
Hs 821.T,,Hs 821.T,,,,,,,Hs_821.T,,,,,,,bone,
Hs 822.T,,Hs 822.T,,,,,,,Hs_822.T,,,,,,,bone,
Hs 834.T,,Hs 834.T,,,,,,,Hs_834.T,,,,,,,skin,
Hs 839.T,,Hs 839.T,,,,Hs 839.T,,,Hs_839.T,,,,,,,skin,
Hs 840.T,,Hs 840.T,,,,,,,Hs_840.T,,,,,,,upper_aerodigestive_tract,
Hs 852.T,,Hs 852.T,,,,Hs 852.T,HS852T,,Hs_852.T,,,,,,,skin,
Hs 863.T,,Hs 863.T,,,,,,,Hs_863.T,,,,,,,bone,
Hs 870.T,,Hs 870.T,,,,,,,Hs_870.T,,,,,,,bone,
Hs 888.T,,Hs 888.T,,,,,,,Hs_888.T,,,,,,,bone,
Hs 895.T,,Hs 895.T,,,,Hs 895.T,,,Hs_895.T,,,,,,,skin,
